"Imigranti dupa nationalitate, 1993-2018"
"Nationalitatea imigrantilor;""1993"";""1994"";""1995"";""1996"";""1997"";""1998"";""1999"";""2000"";""2001"";""2002"";""2003"";""2004"";""2005"";""2006"";""2007"";""2008"";""2009"";""2010"";""2011"";""2012"";""2013"";""2014"";""2015"";""2016"";""2017"";""2018"""
Sierra-Leonez;2;2;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
Sirian;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23;22;27;16;22;15;8;17
Slovac;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;3;14;3;4;6;10;6
Sloven;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;5;-;-;1;-;3;1
Spaniol;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15;9;24;21;36;12;14;20
Sri Lanka;2;-;-;-;-;-;-;2;-;-;-;-;-;-;1;3;1;-;-;-;-;-;-;-;-;-
Sudanez;2;6;7;8;18;24;14;6;2;1;5;6;8;1;1;2;2;-;1;1;1;4;6;-;-;3
Suedez;-;-;1;-;-;1;-;1;1;1;1;1;3;6;3;6;6;4;5;8;13;12;19;12;7;11
Surinamez;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Tadjik;6;3;2;7;3;2;2;1;1;6;8;8;4;5;5;12;10;6;8;10;9;15;18;18;19;27
Tanzanian;-;-;1;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-
Tatar;13;5;11;10;8;7;2;5;3;3;3;5;8;4;10;6;4;7;1;5;2;2;3;4;3;4
Tigan;1;1;-;1;-;1;-;-;1;-;-;1;1;-;1;-;-;1;-;-;-;1;-;-;1;2
Togolez;4;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;1;-;1;1;-;-;-;-
Turc;29;56;34;30;99;107;197;151;113;179;198;272;464;441;464;513;227;290;268;334;445;421;338;290;243;433
Turcmen;4;2;-;2;2;-;1;2;-;1;2;2;2;2;1;3;-;1;1;4;1;1;1;3;1;-
Ucrainean;291;253;288;291;224;154;91;78;88;82;130;143;200;195;268;403;297;287;320;361;366;472;668;671;648;694
Udmurt;4;2;2;2;2;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;1;1
Ugandez;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-
Ungur;-;-;4;-;1;1;-;-;1;1;-;2;2;-;1;1;4;3;7;-;2;5;3;4;4;4
Uzbek;4;1;-;5;5;3;1;3;1;5;21;15;17;13;11;29;11;7;17;16;29;19;32;20;25;36
Venezuelez;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;1;1;-;-;-;-;1;-;-
Vietnamez;7;12;3;7;8;2;5;2;2;-;2;1;-;4;1;1;-;-;4;1;5;1;5;-;1;3
Yemenit;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-
Zair;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-
Zersian;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;1;-
Zimbabvez;-;2;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-
Alte nationalitati;-;-;1;-;5;4;4;12;25;14;33;27;33;37;72;85;87;106;78;111;95;142;134;168;114;137
