"Imigranti dupa tara de emigrare si scopul sosirii , 1993-2010"
"Tara de emigrare;""1993 Total"";""1993 La munca"";""1993 La studii"";""1993 Imigratie de familie"";""1994 Total"";""1994 La munca"";""1994 La studii"";""1994 Imigratie de familie"";""1995 Total"";""1995 La munca"";""1995 La studii"";""1995 Imigratie de familie"";""1996 Total"";""1996 La munca"";""1996 La studii"";""1996 Imigratie de familie"";""1997 Total"";""1997 La munca"";""1997 La studii"";""1997 Imigratie de familie"";""1998 Total"";""1998 La munca"";""1998 La studii"";""1998 Imigratie de familie"";""1999 Total"";""1999 La munca"";""1999 La studii"";""1999 Imigratie de familie"";""2000 Total"";""2000 La munca"";""2000 La studii"";""2000 Imigratie de familie"";""2001 Total"";""2001 La munca"";""2001 La studii"";""2001 Imigratie de familie"";""2002 Total"";""2002 La munca"";""2002 La studii"";""2002 Imigratie de familie"";""2003 Total"";""2003 La munca"";""2003 La studii"";""2003 Imigratie de familie"";""2004 Total"";""2004 La munca"";""2004 La studii"";""2004 Imigratie de familie"";""2005 Total"";""2005 La munca"";""2005 La studii"";""2005 Imigratie de familie"";""2006 Total"";""2006 La munca"";""2006 La studii"";""2006 Imigratie de familie"";""2007 Total"";""2007 La munca"";""2007 La studii"";""2007 Imigratie de familie"";""2008 Total"";""2008 La munca"";""2008 La studii"";""2008 Imigratie de familie"";""2009 Total"";""2009 La munca"";""2009 La studii"";""2009 Imigratie de familie"";""2010 Total"";""2010 La munca"";""2010 La studii"";""2010 Imigratie de familie"""
Grecia;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;4;-;-;-;13;-;-;-;14;13;-;1;7;6;-;1;5;2;-;3;10;7;-;3;5;3;1;1;8;4;-;4;10;4;1;5;14;6;2;6;6;4;-;2;18;10;2;6;7;2;2;3;12;5;3;4
Guinea-Bissa;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Guineea;5;-;-;-;4;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;2;2;-;-;1;1;-;-;6;6;-;-;7;7;-;-;-;-;-;-;2;2;-;-
Haiti;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Hertegovina;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Iemen;18;-;-;-;5;-;-;-;1;-;-;-;4;-;-;-;2;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
India;9;-;-;-;4;-;-;-;4;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;3;1;-;2;3;1;1;1;6;-;6;-;7;2;4;1;7;1;6;-;12;3;6;3;18;4;10;4;3;1;1;1;7;5;-;2;9;7;-;2;2;1;-;1;11;5;5;1
Indonezia;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;5;4;-;1;-;-;-;-;2;2;-;-
Iordania;50;-;-;-;54;-;-;-;58;-;-;-;131;-;-;-;141;-;-;-;160;-;-;-;168;2;159;7;137;4;124;9;112;8;92;12;73;6;61;6;39;8;19;12;52;18;16;18;33;18;4;11;20;10;-;10;9;1;-;8;13;3;3;7;7;-;3;4;3;-;1;2
Iran;3;-;-;-;2;-;-;-;2;-;-;-;5;-;-;-;6;-;-;-;4;-;-;-;2;-;1;1;2;-;1;1;3;-;1;2;1;-;-;1;4;1;3;-;19;-;18;1;12;2;7;3;7;4;-;3;-;-;-;-;2;-;1;1;3;-;1;2;3;-;1;2
